college_id,admission_id,gpa,sat,act,matric,university_id,hook_athlete,hook_first_gen,hook_legacy
110,10649,9.67,,26,Northeastern University,167358,TRUE,FALSE,FALSE
111,231316,9.67,,30,Wellesley College,168218,FALSE,FALSE,FALSE
112,10552,9.66,,32,Wesleyan University,130697,FALSE,FALSE,TRUE
113,17404,9.64,,,Wake Forest University,199847,FALSE,FALSE,FALSE
114,17422,9.6,1180,,Barnard College,189097,FALSE,FALSE,FALSE
115,12782,9.59,,28,Hamilton College,191515,FALSE,FALSE,FALSE
116,10529,9.55,,35,Tufts University,168148,TRUE,FALSE,FALSE
117,10798,9.55,1360,,University of Massachusetts-Amherst,166629,TRUE,FALSE,FALSE
118,13432,9.51,,14,Georgetown University,131496,FALSE,FALSE,FALSE
119,16593,9.49,,31,Occidental College,120254,FALSE,FALSE,FALSE
120,10643,9.45,1150,,Emerson College,165662,TRUE,FALSE,FALSE
121,10701,9.41,1230,,Claremont McKenna College,112260,TRUE,FALSE,FALSE
122,10663,9.36,1200,23,Harvard University,166027,TRUE,FALSE,FALSE
123,16654,9.36,,,Connecticut College,128902,FALSE,FALSE,FALSE
124,231213,9.36,1200,21,Johns Hopkins University,162928,FALSE,FALSE,FALSE
125,10796,9.35,1190,,University of Richmond,233374,FALSE,FALSE,FALSE
126,13419,9.26,,28,University of Pennsylvania,215062,TRUE,FALSE,TRUE
127,10229,9.18,1070,,Northeastern University,167358,FALSE,TRUE,FALSE
128,10442,9.16,,24,Middlebury College,230959,FALSE,TRUE,FALSE
129,10583,9.1,1220,,Bowdoin College,161004,TRUE,FALSE,FALSE
130,10757,9.07,1210,,Northwestern University,147767,FALSE,FALSE,FALSE
131,10801,9.07,,24,Amherst College,164465,TRUE,FALSE,FALSE
132,10755,9.05,1070,,Duke University,198419,FALSE,FALSE,TRUE
133,12529,9.05,1310,,Yale University,130794,FALSE,FALSE,FALSE
134,10714,9.03,1220,30,Babson College,164580,FALSE,TRUE,FALSE
135,10804,9.03,1250,,Providence College,217402,FALSE,FALSE,FALSE
136,235236,8.86,1110,,Brown University,217156,FALSE,FALSE,FALSE
137,10174,11,1530,,Stanford University,243744,FALSE,FALSE,FALSE
138,10270,10.98,1570,,University of Virginia-Main Campus,234076,FALSE,FALSE,FALSE
139,10169,10.95,1590,,Northeastern University,167358,FALSE,FALSE,FALSE
140,10554,10.93,1590,,Harvey Mudd College,115409,FALSE,FALSE,FALSE
141,10355,10.91,1570,,Yale University,130794,FALSE,FALSE,FALSE
142,10770,10.9,1570,35,Amherst College,164465,TRUE,FALSE,FALSE
