admission_id,grad_year,gender,ethnicity,entry_grade,FA_status,incoming_testing,incoming_gpa,boarding,faculty_child,legacy_child,sending_ms_id
15914,2022,F,European American (Caucasian),9,0,5,9.6829,FALSE,FALSE,FALSE,305
10649,2022,F,European American (Caucasian),7,0,5,10.8276,FALSE,TRUE,FALSE,203
10804,2022,M,European American (Caucasian),7,0,5,10.7895,FALSE,TRUE,TRUE,203
10746,2022,M,Asian American,7,0,5,10.1667,FALSE,FALSE,FALSE,203
231374,2022,M,European American (Caucasian),11,1,5,8.4,FALSE,FALSE,FALSE,37
243164,2022,M,Asian American,11,0,5,9.6486,FALSE,FALSE,FALSE,131
10476,2022,M,European American (Caucasian),7,1,5,10.3529,FALSE,FALSE,FALSE,203
10701,2022,M,Asian American,9,2,5,10.6386,FALSE,FALSE,FALSE,265
13422,2022,F,European American (Caucasian),9,0,5,10.881,FALSE,FALSE,FALSE,136
10700,2022,F,European American (Caucasian),7,0,5,9.7561,FALSE,FALSE,TRUE,203
12790,2022,M,African American,9,1,5,10.1781,TRUE,FALSE,FALSE,193
10801,2022,M,European American (Caucasian),7,0,5,9.1795,FALSE,FALSE,FALSE,203
12787,2022,M,European American (Caucasian),9,0,5,9.64,FALSE,FALSE,TRUE,305
17422,2022,F,European American (Caucasian),9,0,5,10.5238,FALSE,FALSE,FALSE,217
10422,2022,F,European American (Caucasian),7,0,5,10.619,FALSE,FALSE,FALSE,203
235269,2022,M,European American (Caucasian),10,1,5,10.41,TRUE,FALSE,FALSE,71
10798,2022,F,European American (Caucasian),7,0,5,10.4,FALSE,FALSE,TRUE,203
231300,2022,F,Asian American,10,0,5,9.87,FALSE,FALSE,FALSE,327
10362,2021,M,European American (Caucasian),7,0,5,10.9,FALSE,FALSE,FALSE,203
10441,2021,M,Middle Eastern American,9,0,5,9.5263,FALSE,FALSE,FALSE,302
17928,2021,M,European American (Caucasian),8,0,5,10.42,FALSE,FALSE,FALSE,203
10449,2021,M,European American (Caucasian),9,0,5,10.4474,FALSE,FALSE,FALSE,305
10220,2021,M,Latino/Hispanic American,7,0,5,9.4,FALSE,FALSE,FALSE,203
10260,2021,F,Multiracial American,7,0,5,10.8272,FALSE,FALSE,FALSE,203
10171,2021,M,European American (Caucasian),7,0,5,9.9767,FALSE,FALSE,FALSE,203
10387,2021,F,European American (Caucasian),9,0,5,10.5181,FALSE,FALSE,FALSE,76
10257,2021,M,European American (Caucasian),7,0,5,9.2464,FALSE,TRUE,FALSE,203
10772,2021,F,European American (Caucasian),9,1,5,10.775,FALSE,FALSE,FALSE,241
10443,2021,M,European American (Caucasian),9,0,5,10.4533,FALSE,FALSE,FALSE,338
10818,2021,F,Multiracial American,9,0,5,10.2051,FALSE,FALSE,FALSE,62
10122,2021,F,European American (Caucasian),7,0,5,9.3947,FALSE,FALSE,FALSE,203
10713,2021,F,African American,9,2,5,9.6486,FALSE,FALSE,FALSE,145
10355,2021,F,Asian American,7,0,5,10.9101,FALSE,FALSE,FALSE,203
10318,2021,M,European American (Caucasian),7,0,5,10.32,FALSE,FALSE,TRUE,203
234704,2021,F,European American (Caucasian),11,1,5,10.3529,TRUE,FALSE,FALSE,267
10120,2021,F,European American (Caucasian),7,0,5,10.1282,FALSE,TRUE,TRUE,203
237311,2021,M,European American (Caucasian),11,1,5,10.2667,FALSE,FALSE,FALSE,173
10492,2021,F,European American (Caucasian),9,0,5,10.84,FALSE,FALSE,FALSE,76
10655,2021,M,European American (Caucasian),9,2,5,9.9589,FALSE,FALSE,FALSE,196
10445,2021,M,European American (Caucasian),9,0,5,10.36,FALSE,FALSE,TRUE,249
10819,2021,F,European American (Caucasian),9,0,5,9.0556,FALSE,FALSE,FALSE,307
10551,2021,F,European American (Caucasian),9,0,5,9.19,FALSE,FALSE,FALSE,200
10660,2021,F,European American (Caucasian),9,0,5,10.1905,FALSE,FALSE,TRUE,76
10820,2021,F,Asian American,9,0,5,10.8276,FALSE,FALSE,FALSE,330
10814,2021,F,European American (Caucasian),9,0,5,10.7895,FALSE,FALSE,FALSE,275
17926,2021,F,European American (Caucasian),7,0,5,10.37,FALSE,FALSE,FALSE,203
10360,2021,M,European American (Caucasian),7,0,5,10.6386,FALSE,FALSE,TRUE,203
17474,2021,M,European American (Caucasian),9,2,5,10.01,FALSE,FALSE,FALSE,228
15911,2021,M,European American (Caucasian),10,1,5,10.44,FALSE,FALSE,FALSE,83
10267,2021,M,Asian American,7,0,5,10.881,FALSE,FALSE,FALSE,203
10665,2021,M,Latino/Hispanic American,9,2,5,9.7561,FALSE,FALSE,FALSE,193
10030,2021,F,European American (Caucasian),7,0,5,10.1781,FALSE,FALSE,FALSE,203
10769,2021,M,European American (Caucasian),9,0,5,9.1795,FALSE,FALSE,FALSE,305
10176,2021,M,Multiracial American,7,0,5,10.5238,FALSE,FALSE,FALSE,203
